journal_id,title,issn,lang,years,database
"37010","Clinical Medicine Insights: Urology","1179-5611","西文","20111201-20161201","Airiti Library 【華藝中文電子期刊】"
"37011","Clinical Medicine Insights: Women’s Health","1179-562X","西文","20111201-20151201","Airiti Library 【華藝中文電子期刊】"
"37012","Clinical Medicine Insights：Pathology","1179-5557","西文","20111201-20151201","Airiti Library 【華藝中文電子期刊】"
"18453","Clinical microbiology and infection: the official publication of the European Society of Clinical Microbiology and Infectious Diseases","1198-743X","西文","20000101-20141201","MEDLINE電子期刊"
"45665","Clinical Microbiology and Infection; Basel","1198-743X","西文","1998-2001","ProQuest 【電子期刊】"
"37957","Clinical Microbiology Newsletter","0196-4399","西文","2007-present","ClinicalKey 【電子期刊&電子書】"
"35960","Clinical Neonatology","1381-3390","西文","20081201-20081201","Airiti Library 【華藝中文電子期刊】"
"18454","Clinical nephrology","0301-0430","西文","20050101-20141001","MEDLINE電子期刊"
"47875","Clinical Nephrology","0301-0430","西文","2016-present","ProQuest 【電子期刊】"
"47876","Clinical Nephrology - Case Studies","2196-5293","西文","2013-present","ProQuest 【電子期刊】"
"37958","Clinical Neurology and Neurosurgery","0303-8467","西文","2007/01-present","ClinicalKey 【電子期刊&電子書】"
"45666","Clinical Neurology and Neurosurgery","0303-8467","西文","2002-present(已延遲 2 個月)","ProQuest 【電子期刊】"
"18455","Clinical neuropathology","0722-5091","西文","20041101-20141001","MEDLINE電子期刊"
"48532","Clinical Neuropathology","0722-5091","西文","2016-present","ProQuest 【電子期刊】"
"37592","Clinical Neuropharmacology","0362-5664","西文","2000.01-present","OVID 【電子期刊】"
"37959","Clinical Neurophysiology","1388-2457","西文","2007/01-present","ClinicalKey 【電子期刊&電子書】"
"38801","Clinical Neurophysiology Practice","2467-981X","西文","2016-present","ClinicalKey 【電子期刊&電子書】"
"48533","Clinical Neuroradiology","1869-1439","西文","1998-present(已延遲 1 年)","ProQuest 【電子期刊】"
"49538","Clinical Neuroradiology","1869-1439","西文","1997-present","Springer 【電子期刊】"
"37593","Clinical Nuclear Medicine","0363-9762","西文","1996.01-present","OVID 【電子期刊】"
"37594","Clinical Nurse Specialist","0887-6274","西文","1996.01-present","OVID 【電子期刊】"
"37960","Clinical Nutrition","0261-5614","西文","2007/02-present","ClinicalKey 【電子期刊&電子書】"
"38491","Clinical Nutrition ESPEN","2405-4577","西文","2015-present","ClinicalKey 【電子期刊&電子書】"
"38747","Clinical Nutrition Open Science","2667-2685","西文","2021-present","ClinicalKey 【電子期刊&電子書】"
"37595","Clinical Obstetrics & Gynecology","0009-9201","西文","1996.05-present","OVID 【電子期刊】"
"37961","Clinical Oncology","0936-6555","西文","2007/02-present","ClinicalKey 【電子期刊&電子書】"
"48368","Clinical Oncology Alert","0886-7186","西文","2008-2013","ProQuest 【電子期刊】"
"48802","Clinical Oncology in Adolescents and Young Adults","2230-2263","西文","1/1/2011-1/1/2016","ProQuest 【電子期刊】"
"48803","Clinical Ophthalmology","1177-5467","西文","1/1/2007+","ProQuest 【電子期刊】"
"6909","Clinical Oral Implants Research","1600-0501","西文","1997-present訂購年份:2025(三院共享)","南醫單本訂購期刊"
"49811","Clinical Oral Implants Research","0905-7161","西文","1997-present","Wiley Online Library(電子期刊)"
"45667","Clinical Oral Investigations","1432-6981","西文","1997-present(已延遲 1 年)","ProQuest 【電子期刊】"
"49539","Clinical Oral Investigations","1432-6981","西文","1997-present","Springer 【電子期刊】"
"51050","Clinical Orthopaedics & Related Research","0009-921X","西文","2002-present訂購年份:2026","彰濱單本期刊"
"45668","Clinical Orthopaedics and Related Research","0009-921X","西文","2008-2017","ProQuest 【電子期刊】"
"18456","Clinical otolaryngology and allied sciences","0307-7772","西文","19980201-20041201","MEDLINE電子期刊"
"18457","Clinical otolaryngology: official journal of ENT-UK ; official journal of Netherlands Society for Oto-Rhino-Laryngology & Cervico-Facial Surgery","1749-4478","西文","20050201-","MEDLINE電子期刊"
"38805","Clinical Parkinsonism & Related Disorders","2590-1125","西文","2019-present","ClinicalKey 【電子期刊&電子書】"
"37962","Clinical Pediatric Emergency Medicine","1522-8401","西文","2007/03-present","ClinicalKey 【電子期刊&電子書】"
"48433","Clinical Pediatric Emergency Medicine","1522-8401","西文","2003-2020","ProQuest 【電子期刊】"
"45669","Clinical Pediatrics","0009-9228","西文","1998-2005","ProQuest 【電子期刊】"
"45670","Clinical Pharmacokinetics","0312-5963","西文","2007-present(已延遲 1 年)","ProQuest 【電子期刊】"
"6910","Clinical Pharmacology and Therapeutics","0009-9236","西文","1997-present訂購年份:2025(三院共享)","南醫單本訂購期刊"
"49812","Clinical pharmacology and therapeutics","0009-9236","西文","1997-present","Wiley Online Library(電子期刊)"
"37963","Clinical Plasma Medicine","2212-8166","西文","2013/06-present","ClinicalKey 【電子期刊&電子書】"
"48231","Clinical Practice","2044-9038","西文","2004-2014","ProQuest 【電子期刊】"
"48804","Clinical Practice and Cases in Emergency Medicine","2474-252X","西文","1/1/2019+","ProQuest 【電子期刊】"
"38722","Clinical Practice and Research in Arteriosclerosis (English Edition)","2529-9123","西文","2017-present","ClinicalKey 【電子期刊&電子書】"
"46843","Clinical Proteomics","1542-6416","西文","2004-2010","ProQuest 【電子期刊】"
"46844","Clinical Proteomics (Online)","1559-0275","西文","2011-present","ProQuest 【電子期刊】"
"37596","Clinical Pulmonary Medicine","1068-0640","西文","2001-2020","OVID 【電子期刊】"
"37964","Clinical Radiology","0009-9260","西文","2007/01-present","ClinicalKey 【電子期刊&電子書】"
"45671","Clinical References","","西文","2002-2011","ProQuest 【電子期刊】"
"45672","Clinical Rehabilitation","0269-2155","西文","1998-present","ProQuest 【電子期刊】"
"45673","Clinical Research in Cardiology","1861-0684","西文","1998-present(已延遲 1 年)","ProQuest 【電子期刊】"
"49540","Clinical Research in Cardiology","1861-0684","西文","1997-present","Springer 【電子期刊】"
"51138","Clinical Research in Cardiology Supplements","1861-0706","西文","2006-present","Springer 【電子期刊】"
"48805","Clinical Respiratory Journal, The","1752-6981","西文","1/1/2022+","ProQuest 【電子期刊】"
"45674","Clinical Reviews in Allergy & Immunology","1080-0549","西文","1997-present(已延遲 1 年)","ProQuest 【電子期刊】"
"49541","Clinical Reviews in Allergy & Immunology","1080-0549","西文","1997-present","Springer 【電子期刊】"
"18458","Clinical rheumatology","0770-3198","西文","20000101-","MEDLINE電子期刊"
"45675","Clinical Rheumatology","0770-3198","西文","1997-present","ProQuest 【電子期刊】"
"49542","Clinical Rheumatology","0770-3198","西文","1997-present","Springer 【電子期刊】"
"37965","Clinical Rheumatology (Reumatolog?a Cl?nica, English Edition)","2173-5743","西文","2011/01-present","ClinicalKey 【電子期刊&電子書】"
"48369","Clinical Sarcoma Research","2045-3329","西文","2015-2020","ProQuest 【電子期刊】"
"38492","Clinical Skin Cancer","2405-8645","西文","2016-present","ClinicalKey 【電子期刊&電子書】"
"38672","Clinical Surgical Oncology","2773-160X","西文","2022-present","ClinicalKey 【電子期刊&電子書】"
"37966","Clinical Therapeutics","0149-2918","西文","2007/01-present","ClinicalKey 【電子期刊&電子書】"
"45676","Clinical Therapeutics","0149-2918","西文","2003-present","ProQuest 【電子期刊】"
"18459","Clinical toxicology: the official journal of the American Academy of Clinical Toxicology and European Association of Poisons Centres and Clinical...","1556-3650","西文","20050101-","MEDLINE電子期刊"
"38814","Clinical Traditional Medicine and Pharmacology","2097-3829","西文","2024-present","ClinicalKey 【電子期刊&電子書】"
"18460","Clinical transplantation","0902-0063","西文","19990201-","MEDLINE電子期刊"
"45677","Clinical Trials","1740-7745","西文","2004-2015","ProQuest 【電子期刊】"
"48232","Clinical Trials Administrator","1544-8460","西文","2008-2011","ProQuest 【電子期刊】"
"18461","Clinical trials: journal of the Society for Clinical Trials","1740-7745","西文","20040201-20160501","MEDLINE電子期刊"
"48806","Clinical, Cosmetic and Investigational Dentistry","1179-1357","西文","1/1/2009+","ProQuest 【電子期刊】"
"38673","Clinics","1807-5932","西文","2012-present","ClinicalKey 【電子期刊&電子書】"
"37967","Clinics and Research in Hepatology and Gastroenterology","2210-7401","西文","2011/01-present","ClinicalKey 【電子期刊&電子書】"
"37968","Clinics in Chest Medicine","0272-5231","西文","2007/03-present","ClinicalKey 【電子期刊&電子書】"
"37969","Clinics in Dermatology","0738-081X","西文","2007/01-present","ClinicalKey 【電子期刊&電子書】"
"37970","Clinics in Geriatric Medicine","0749-0690","西文","2007/02-present","ClinicalKey 【電子期刊&電子書】"
"38552","Clinics in Integrated Care","2666-8696","西文","2020.07-present","ClinicalKey 【電子期刊&電子書】"
"37971","Clinics in Laboratory Medicine","0272-2712","西文","2007/03-present","ClinicalKey 【電子期刊&電子書】"
"37972","Clinics in Liver Disease","1089-3261","西文","2007/02-present","ClinicalKey 【電子期刊&電子書】"
"37973","Clinics in Perinatology","0095-5108","西文","2007/03-present","ClinicalKey 【電子期刊&電子書】"
"37974","Clinics in Plastic Surgery","0094-1298","西文","2007/01-present","ClinicalKey 【電子期刊&電子書】"
"37975","Clinics in Podiatric Medicine and Surgery","0891-8422","西文","2007/01-present","ClinicalKey 【電子期刊&電子書】"
"37976","Clinics in Sports Medicine","0278-5919","西文","2007/01-present","ClinicalKey 【電子期刊&電子書】"
"48807","Clocks & Sleep","2624-5175","西文","1/1/2021+","ProQuest 【電子期刊】"
"18462","CMAJ: Canadian Medical Association journal = journal de l'Association medicale canadienne","0820-3946","西文","19850901-","MEDLINE電子期刊"
"49528","CME","1614-371X","西文","2012-present","Springer 【電子期刊】"
"49498","CMI Communications","2950-5909","西文","2024-present","ClinicalKey 【電子期刊&電子書】"
"18463","CNS drug reviews","1080-563X","西文","20060601-20071201","MEDLINE電子期刊"
"45585","CNS Drugs","1172-7047","西文","2008-present(已延遲 1 年)","ProQuest 【電子期刊】"
"18464","CNS neuroscience & therapeutics","1755-5930","西文","20080301-","MEDLINE電子期刊"
"48808","CNS Neuroscience & Therapeutics","1755-5930","西文","1/1/2019+","ProQuest 【電子期刊】"
"48809","CNS Oncology","2045-0907","西文","1/1/2018-12/1/2020","ProQuest 【電子期刊】"
"18465","CNS spectrums","1092-8529","西文","20080101-20100601","MEDLINE電子期刊"
"48810","CNS Spectrums","1092-8529","西文","6/1/2012+","ProQuest 【電子期刊】"
"18466","Cochlear implants international","1467-0100","西文","20070301-","MEDLINE電子期刊"
"48478","Cocuk Acil ve Yogun Bakim","2146-2399","西文","2016-2019","ProQuest 【電子期刊】"
"48479","Cocuk Enfeksiyon Dergisi","1307-1068","西文","2008-present","ProQuest 【電子期刊】"
"51194","Cogent Psychology","","西文","1/1/2024+","ProQuest 【電子期刊】"
"47317","Cogent Public Health","","西文","2014-present","ProQuest 【電子期刊】"
"37597","Cognitive & Behavioral Neurology","1543-3633","西文","2003.05-present","OVID 【電子期刊】"
"18467","Cognitive behaviour therapy","1650-6073","西文","20040301-","MEDLINE電子期刊"
"48812","Cognitive Neurodynamics","1871-4080","西文","3/1/2007+","ProQuest 【電子期刊】"
"51195","Cognitive Processing","1612-4782","西文","2/1/2023+","ProQuest 【電子期刊】"
"48034","Cognitive Sciences","1556-8237","西文","2011-2014","ProQuest 【電子期刊】"
"49546","Cognitive Therapy and Research","0147-5916","西文","1997-present","Springer 【電子期刊】"
"45683","Cognitive, Affective and Behavioral Neuroscience","1530-7026","西文","2011-present(已延遲 1 年)","ProQuest 【電子期刊】"
"37351","Collection and Research","1726-2038","西文","19890901-20220101","Airiti Library 【華藝中文電子期刊】"
"18468","Collegium antropologicum","0350-6134","西文","20070301-","MEDLINE電子期刊"
"51196","Colo-Proctology","0174-2442","西文","2/1/2023+","ProQuest 【電子期刊】"
"47318","Côlon & Rectum","1951-6371","西文","2015-2020","ProQuest 【電子期刊】"
"49547","Coloproctology","0174-2442","西文","1997-present","Springer 【電子期刊】"
"48813","Colorectal Cancer","1758-194X","西文","11/1/2017-12/1/2020","ProQuest 【電子期刊】"
"47930","Combination Products in Therapy","2195-5859","西文","2011-2014","ProQuest 【電子期刊】"
"48814","Common Sense Family Doctor [BLOG]","","西文","5/2/2018+","ProQuest 【電子期刊】"
"45685","Communication & Medicine","1612-1783","西文","2011-2015","ProQuest 【電子期刊】"
"48815","Communications Medicine","2730-664X","西文","12/1/2021+","ProQuest 【電子期刊】"
"48816","Community Health Equity Research & Policy","2752-535X","西文","4/1/1998-7/1/2008","ProQuest 【電子期刊】"
"45686","Community Mental Health Journal","0010-3853","西文","1996-present(已延遲 1 年)","ProQuest 【電子期刊】"
"49548","Community Mental Health Journal","0010-3853","西文","1997-present","Springer 【電子期刊】"
"45687","Community Practitioner","1462-2815","西文","2000-2023","ProQuest 【電子期刊】"
"47114","Comparative Clinical Pathology","1618-5641","西文","1997-present(已延遲 1 年)","ProQuest 【電子期刊】"
"49549","Comparative Clinical Pathology","1618-5641","西文","1997-present","Springer 【電子期刊】"
"47901","Comparative Exercise Physiology","1755-2540","西文","2004-2010","ProQuest 【電子期刊】"
"48255","Comparative Hepatology","1476-5926","西文","2009-2012","ProQuest 【電子期刊】"
"37977","Comparative Immunology, Microbiology and Infectious Diseases","0147-9571","西文","2007/01-present","ClinicalKey 【電子期刊&電子書】"
"46987","Compensation and Benefits Review","0886-3687","西文","1987-2007","ProQuest 【電子期刊】"
"46988","Compensation and Benefits Review (1986-1998)","0886-3687","西文","1986","ProQuest 【電子期刊】"
"46989","Compensation and Benefits Review (pre-1986)","0886-3687","西文","1985","ProQuest 【電子期刊】"
"46990","Compensation Review (pre-1986)","0010-4248","西文","1969-1985","ProQuest 【電子期刊】"
"37978","Complementary Therapies in Clinical Practice","1744-3881","西文","2007/02-present","ClinicalKey 【電子期刊&電子書】"
"37979","Complementary Therapies in Medicine","0965-2299","西文","2007/03-present","ClinicalKey 【電子期刊&電子書】"
"45688","Complementary Therapies in Medicine","0965-2299","西文","2003-present(已延遲 2 個月)","ProQuest 【電子期刊】"
"37980","Comprehensive Psychiatry","0010-440X","西文","2007/01-present","ClinicalKey 【電子期刊&電子書】"
"45689","Comprehensive Psychiatry","0010-440X","西文","2003-present","ProQuest 【電子期刊】"
"51743","Comprehensive Psychoneuroendocrinology","2666-4976","西文","2020-present","ClinicalKey 【電子期刊&電子書】"
"45691","Computational and Mathematical Methods in Medicine : CMMM","1748-670X","西文","2010","ProQuest 【電子期刊】"
"48817","Computational and Systems Oncology","2689-9655","西文","3/1/2021+","ProQuest 【電子期刊】"
"45690","Computational Intelligence and Neuroscience : CIN","1687-5265","西文","2008-present","ProQuest 【電子期刊】"
"18469","Computer aided surgery: official journal of the International Society for Computer Aided Surgery","1092-9088","西文","20040201-20151201","MEDLINE電子期刊"
"18470","Computer assisted surgery","2469-9322","西文","20160101-","MEDLINE電子期刊"
"51197","Computer Assisted Surgery","2469-9322","西文","1/1/2016+","ProQuest 【電子期刊】"
"37981","Computer Methods and Programs in Biomedicine","0169-2607","西文","2007/01-present","ClinicalKey 【電子期刊&電子書】"
"37982","Computerized Medical Imaging and Graphics","0895-6111","西文","2007/01-present","ClinicalKey 【電子期刊&電子書】"
"37983","Computers in Biology and Medicine","0010-4825","西文","2007/01-present","ClinicalKey 【電子期刊&電子書】"
"35962","Comunicata Scientiae","2177-5133","西文","20040405-20110530","Airiti Library 【華藝中文電子期刊】"
"48818","Concussion","2056-3299","西文","3/1/2017-12/1/2020","ProQuest 【電子期刊】"
"51115","Conference of the International Society for Gerontechnology","","西文","20240902-","Airiti Library 【華藝中文電子期刊】"
"48819","Confident Voices in Healthcare [BLOG]","","西文","7/23/2018-5/27/2022","ProQuest 【電子期刊】"
"48083","Conflict and Health","1752-1505","西文","2009-present","ProQuest 【電子期刊】"
"18471","Congenital anomalies","0914-3505","西文","20040301-","MEDLINE電子期刊"
"18472","Congestive heart failure","1527-5299","西文","20060101-20130801","MEDLINE電子期刊"
"18473","Connecticut medicine","0010-6178","西文","20080101-20170501","MEDLINE電子期刊"
"48297","Connecticut Nursing News","0278-4092","西文","1998-2011","ProQuest 【電子期刊】"
"18474","Connective tissue research","0300-8207","西文","20020101-","MEDLINE電子期刊"
"47319","ConScientiae Saúde","1677-1028","西文","2012-2021","ProQuest 【電子期刊】"
"46909","Conservation Genetics","1566-0621","西文","2000-present (已延遲 1 年)","ProQuest 【電子期刊】"
"48820","Considerations in Medicine","2515-3927","西文","11/1/2017+","ProQuest 【電子期刊】"
"47100","Consulting - Specifying Engineer","0892-5046","西文","1996-present","ProQuest 【電子期刊】"
"47052","Consumer Reports","0010-7174","西文","1996-2009","ProQuest 【電子期刊】"
"47053","Consumer Reports on Health","1058-0832","西文","2005-2009","ProQuest 【電子期刊】"
"18475","Contact dermatitis","0105-1873","西文","19750201-","MEDLINE電子期刊"
"37984","Contact Lens & Anterior Eye","1367-0484","西文","2007/03-present","ClinicalKey 【電子期刊&電子書】"
"48821","Contagion","1553-538X","西文","9/28/2020+","ProQuest 【電子期刊】"
"47698","Contemporary Clinical Dentistry","0976-237X","西文","2010-present","ProQuest 【電子期刊】"
"37985","Contemporary Clinical Trials","1551-7144","西文","2007/01-present","ClinicalKey 【電子期刊&電子書】"
"38531","Contemporary Clinical Trials Communications","2451-8654","西文","2015-present","ClinicalKey 【電子期刊&電子書】"
"37598","Contemporary Diagnostic Radiology","0149-9009","西文","2005.01-present","OVID 【電子期刊】"
"47064","Contemporary Drug Problems","0091-4509","西文","1996-2017","ProQuest 【電子期刊】"
"47128","Contemporary Gerontology","1069-0840","西文","2005","ProQuest 【電子期刊】"
"48466","Contemporary Issues in Communication Science and Disorders","1092-5171","西文","2008-2016","ProQuest 【電子期刊】"
"37599","Contemporary Neurosurgery","0163-2108","西文","2000.01-present","OVID 【電子期刊】"
"45693","Contemporary Nurse : a Journal for the Australian Nursing Profession","1037-6178","西文","2006-2017","ProQuest 【電子期刊】"
"45694","Contemporary OB/GYN","0090-3159","西文","2001-present","ProQuest 【電子期刊】"
"48480","Contemporary Pediatrics","8750-0507","西文","2001-present","ProQuest 【電子期刊】"
"37600","Contemporary Spine Surgery","1527-4268","西文","2000.01-present","OVID 【電子期刊】"
"47839","Contemporary Surgery","0045-8341","西文","2006-2008","ProQuest 【電子期刊】"
"48035","Contextos Clínicos","1983-3482","西文","2011-present","ProQuest 【電子期刊】"
"38757","Continence","2772-9737","西文","2022-present","ClinicalKey 【電子期刊&電子書】"
"38756","Continence Reports","2772-9745","西文","2022-present","ClinicalKey 【電子期刊&電子書】"
"37576","CONTINUUM: Lifelong Learning in Neurology","1080-2371","西文","1993-present","OVID 【電子期刊】"
"37986","Contraception","0010-7824","西文","2007/01-present","ClinicalKey 【電子期刊&電子書】"
"48822","Contraception and Reproductive Medicine","2055-7426","西文","1/1/2016+","ProQuest 【電子期刊】"
"46968","Contraceptive Technology Update","0274-726X","西文","2008-present","ProQuest 【電子期刊】"
"48612","Contrast Media & Molecular Imaging","1555-4309","西文","2017-2020","ProQuest 【電子期刊】"
"48823","Controversies in Hospital Infection Prevention [BLOG]","","西文","8/7/2018-8/4/2021","ProQuest 【電子期刊】"
"48824","Conversation : COVID-19, The","","西文","7/1/2020+","ProQuest 【電子期刊】"
"48825","Conversation : Health, The","","西文","7/1/2020+","ProQuest 【電子期刊】"
"37987","Cor et Vasa","0010-8650","西文","2012/01-present","ClinicalKey 【電子期刊&電子書】"
"37601","Cornea","0277-3740","西文","2000.01-present","OVID 【電子期刊】"
"37602","Coronary Artery Disease","0954-6928","西文","2000.02-present","OVID 【電子期刊】"
"48826","Coronavirus Newswise Feed","","西文","7/14/2023+","ProQuest 【電子期刊】"
"47931","Correo Farmacéutico","1695-002X","西文","2008-present","ProQuest 【電子期刊】"
"47320","Cortlandt Forum","1048-5791","西文","2008-2009","ProQuest 【電子期刊】"
"47840","Cosmetic Surgery Times","1094-6810","西文","2009-2012","ProQuest 【電子期刊】"
"47174","Cost Effectiveness and Resource Allocation","1478-7547","西文","2009-present","ProQuest 【電子期刊】"
"47802","Cough","1745-9974","西文","2009-2014","ProQuest 【電子期刊】"
"48036","Counselling Psychology Quarterly","0951-5070","西文","1997-2000","ProQuest 【電子期刊】"
"48827","CPT: Pharmacometrics & Systems Pharmacology","2163-8306","西文","9/1/2012+","ProQuest 【電子期刊】"
"45695","Creative Nursing","1078-4535","西文","2008-2017","ProQuest 【電子期刊】"
"48534","Criminal Behaviour and Mental Health : CBMH","0957-9664","西文","1998-2002","ProQuest 【電子期刊】"
"18476","Criminal behaviour and mental health: CBMH","0957-9664","西文","20020301-","MEDLINE電子期刊"
"47321","Critical Care","1364-8535","西文","2015-present","ProQuest 【電子期刊】"
"48434","Critical Care Alert","1067-9502","西文","2008-present","ProQuest 【電子期刊】"
"38697","Critical Care and Resuscitation","1441-2772","西文","2023-present","ClinicalKey 【電子期刊&電子書】"
"37988","Critical Care Clinics","0749-0704","西文","2007/01-present","ClinicalKey 【電子期刊&電子書】"
"37603","Critical Care Medicine","0090-3493","西文","1995.01-present","OVID 【電子期刊】"
"45696","Critical Care Nurse","0279-5442","西文","1998-2007","ProQuest 【電子期刊】"
"6911","Critical Care Nursing Clinics of North America(停訂,全文到2012年,限院內IP)","","","","南醫單本訂購期刊"
"37604","Critical Care Nursing Quarterly","0887-9303","西文","1999.02-present","OVID 【電子期刊】"
"37013","Critical Care Research and Practice","2090-1305","西文","20121201-20161201","Airiti Library 【華藝中文電子期刊】"
"37605","Critical Pathways in Cardiology: A Journal of Evidence-Based Medicine","1535-282X","西文","2002.03-present","OVID 【電子期刊】"
"47032","Critical Reviews in Analytical Chemistry","1040-8347","西文","2003-2007","ProQuest 【電子期刊】"
"18477","Critical reviews in biochemistry and molecular biology","1040-9238","西文","20020201-","MEDLINE電子期刊"
"45697","Critical Reviews in Biochemistry and Molecular Biology","1040-9238","西文","2003-2007","ProQuest 【電子期刊】"
"18478","Critical reviews in biotechnology","0738-8551","西文","20020301-","MEDLINE電子期刊"
"45698","Critical Reviews in Biotechnology","0738-8551","西文","2003-2007","ProQuest 【電子期刊】"
"18479","Critical reviews in clinical laboratory sciences","1040-8363","西文","20020201-","MEDLINE電子期刊"
"45699","Critical Reviews in Clinical Laboratory Sciences","1040-8363","西文","2003-2007","ProQuest 【電子期刊】"
"18480","Critical reviews in computed tomography","1548-7679","西文","20020201-20041201","MEDLINE電子期刊"
"45700","Critical Reviews in Computed Tomography","1548-7679","西文","2003-2004","ProQuest 【電子期刊】"
"45701","Critical Reviews in Food Science and Nutrition","1040-8398","西文","2001-2007","ProQuest 【電子期刊】"
"18481","Critical reviews in microbiology","1040-841X","西文","20020301-","MEDLINE電子期刊"
"45702","Critical Reviews in Microbiology","1040-841X","西文","2003-2007","ProQuest 【電子期刊】"
"37989","Critical Reviews in Oncology and Hematology","1040-8428","西文","2007.01-present","ClinicalKey 【電子期刊&電子書】"
"18482","Critical reviews in toxicology","1040-8444","西文","20020101-","MEDLINE電子期刊"
"45703","Critical Reviews in Toxicology","1040-8444","西文","1998-2008","ProQuest 【電子期刊】"
"18483","Croatian medical journal","0353-9504","西文","20050201-","MEDLINE電子期刊"
"51198","Crohn's & Colitis 360","2631-827X","西文","5/1/2019+","ProQuest 【電子期刊】"
"32048","CT理论与应用研究","1004-4140","中文","1995-","萬方醫學網"
"18484","Culture, medicine and psychiatry","0165-005X","西文","19930901-","MEDLINE電子期刊"
"45704","Culture, Medicine and Psychiatry","0165-005X","西文","1997-present(已延遲 1 年)","ProQuest 【電子期刊】"
"45705","Curationis","0379-8577","西文","2012-present","ProQuest 【電子期刊】"
"48828","Cure","1534-7664","西文","9/22/2020+","ProQuest 【電子期刊】"
"47322","Cureus","2168-8184","西文","2014-present","ProQuest 【電子期刊】"
"48829","CuriousCortex [BLOG]","","西文","8/10/2018-8/10/2018","ProQuest 【電子期刊】"
"48830","Current Addiction Reports","2196-2952","西文","3/1/2014+","ProQuest 【電子期刊】"
"45706","Current Allergy and Asthma Reports","1529-7322","西文","2001-present(已延遲 1 年)","ProQuest 【電子期刊】"
"49550","Current Allergy and Asthma Reports","1529-7322","西文","2001.01-present","Springer 【電子期刊】"
"49551","Current Atherosclerosis Reports","1523-3804","西文","1999.07-present","Springer 【電子期刊】"
"51199","Current Atherosclerosis Reports","1523-3804","西文","1/1/2023+","ProQuest 【電子期刊】"
"49552","Current Bladder Dysfunction Reports","1931-7212","西文","2006.08-present","Springer 【電子期刊】"
"51200","Current Bladder Dysfunction Reports","1931-7212","西文","3/1/2023+","ProQuest 【電子期刊】"
"49553","Current Breast Cancer Reports","1943-4588","西文","2009.03-persent","Springer 【電子期刊】"
"49554","Current Cardiology Reports","1523-3782","西文","1999.05-present","Springer 【電子期刊】"
"51201","Current Cardiology Reports","1523-3782","西文","1/1/2023+","ProQuest 【電子期刊】"
"49555","Current Cardiovascular Imaging Reports","1941-9066","西文","2008.10-present","Springer 【電子期刊】"
"48831","Current Cardiovascular Risk Reports","1932-9520","西文","2/1/2007+","ProQuest 【電子期刊】"
"49556","Current Cardiovascular Risk Reports","1932-9520","西文","2007-present","Springer 【電子期刊】"
"47629","Current Controlled Trials in Cardiovascular Medicine [NLM - MEDLINE]","1468-6708","西文","2005","ProQuest 【電子期刊】"
"38723","Current Developments in Nutrition","2475-2991","西文","2017-present","ClinicalKey 【電子期刊&電子書】"
"49557","Current Diabetes Reports","1534-4827","西文","2001.02-present","Springer 【電子期刊】"
"45707","Current Diabetes Reports; Philadelphia","1534-4827","西文","2013-present(已延遲 1 年)","ProQuest 【電子期刊】"
"48832","Current Emergency and Hospital Medicine Reports","2167-4884","西文","3/1/2013+","ProQuest 【電子期刊】"
"18485","Current eye research","0271-3683","西文","19980701-","MEDLINE電子期刊"
"49558","Current Fungal Infection Reports","1936-3761","西文","2007-present","Springer 【電子期刊】"
"48833","Current Gastroenterology Reports","1522-8037","西文","4/1/1996+","ProQuest 【電子期刊】"
"49559","Current Gastroenterology Reports","1522-8037","西文","1997.01-present","Springer 【電子期刊】"
"18486","Current genetics","0172-8083","西文","20000101-","MEDLINE電子期刊"
"45708","Current Genetics","0172-8083","西文","2003-present","ProQuest 【電子期刊】"
"48834","Current Geriatrics Reports","2196-7865","西文","3/1/2012+","ProQuest 【電子期刊】"
"37014","Current Gerontology and Geriatrics Research","1687-7063","西文","20081201-20161201","Airiti Library 【華藝中文電子期刊】"
"47129","Current Gerontology and Geriatrics Research","1687-7063","西文","2008-present","ProQuest 【電子期刊】"
"48835","Current Gynecologic Oncology","2081-1632","西文","1/1/2006-1/1/2021","ProQuest 【電子期刊】"
"47096","Current Health Kids","2157-5916","西文","1996-2012","ProQuest 【電子期刊】"
"47993","Current Health Teens","2157-5703","西文","1988-2012","ProQuest 【電子期刊】"
"49561","Current Heart Failure Reports","1546-9530","西文","2004.03-present","Springer 【電子期刊】"
"49562","Current Hematologic Malignancy Reports","1558-8211","西文","2006.03-present","Springer 【電子期刊】"
"49563","Current Hepatology Reports","2195-9595","西文","2002-present","Springer 【電子期刊】"
"49560","Current HIV/AIDS Reports","1548-3568","西文","2004.03-present","Springer 【電子期刊】"
"51202","Current HIV/AIDS Reports","1548-3568","西文","10/1/2022+","ProQuest 【電子期刊】"
"45709","Current Hypertension Reports","1522-6417","西文","1999-present(已延遲 1 年)","ProQuest 【電子期刊】"
"49564","Current Hypertension Reports","1522-6417","西文","1999.01-present","Springer 【電子期刊】"
"51203","Current Hypertension Reports","1522-6417","西文","1/1/1999+","ProQuest 【電子期刊】"
"47586","Current Infectious Disease Reports","1523-3847","西文","1999-present(已延遲 1 年)","ProQuest 【電子期刊】"
"49565","Current Infectious Disease Reports","1523-3847","西文","1999.02-present","Springer 【電子期刊】"
"51204","Current Infectious Disease Reports","1523-3847","西文","1/1/1999+","ProQuest 【電子期刊】"
"18487","Current issues in molecular biology","1467-3037","西文","20080101-20150801","MEDLINE電子期刊"
